"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness","X"
"192","F1","MhPh","HSD","Both",21,"female",3.77,13.48425197,9.299193597,23.91750095,3.79,99.01702813,125,NA
"193","F1","MhPh","HSD","Both",22,"female",3.78,6.111703761,8.390978172,12.16664735,3.87,44.07329357,357,NA
"194","F1","MhPh","HSD","Both",23,"female",3.95,10.20678685,12.91223957,31.48737631,3.82,68.24195961,65,NA
"195","F1","MhPh","HSD","Both",24,"female",3.91,8.015453834,11.99546371,27.40666472,3.64,52.3578271,103,NA
"196","F1","MhPh","HSD","Both",25,"female",NA,NA,NA,NA,NA,NA,118,NA
"197","F2","McPc","CD","Both",1,"male",2.45,7.905701754,9.969235964,17.27949791,2.26,20.91780469,NA,NA
"198","F2","McPc","CD","Both",2,"male",2.64,7.927725497,13.31517368,9.252001687,2.77,38.61262767,NA,NA
"199","F2","McPc","CD","Both",3,"male",2.63,8.670053842,13.86963149,16.79620349,2.51,27.20009741,NA,NA
"200","F2","McPc","CD","Both",4,"male",2.52,8.191971913,11.65387996,11.65369202,2.77,31.8341472,NA,NA
"201","F2","McPc","CD","Both",5,"male",2.63,9.149041938,15.85095806,19.98107299,2.79,55.06462132,NA,NA
"202","F2","McPc","CD","Both",6,"male",2.57,7.955539382,14.5912771,22.282457,2.56,30.37219429,NA,NA
"203","F2","McPc","CD","Both",7,"male",2.49,9.502383393,10.28387058,21.98538286,2.6,41.30229965,NA,NA
"204","F2","McPc","CD","Both",8,"male",2.53,7.180899746,9.650282233,13.91482397,2.55,36.80362777,NA,NA
"205","F2","McPc","CD","Both",9,"male",2.47,7.185574408,13.636726,11.55028605,2.59,25.35352785,NA,NA
"206","F2","McPc","CD","Both",10,"male",2.29,7.20526736,11.91543762,17.21310504,2.39,33.64636638,NA,NA
"207","F2","McPc","CD","Both",11,"male",2.59,6.859896905,10.12253264,14.78317877,2.92,33.11812555,NA,NA
"208","F2","McPc","CD","Both",12,"male",2.67,8.806113509,5.651402831,24.6295535,2.61,38.19067062,NA,NA
"209","F2","McPc","CD","Both",13,"male",2.46,7.490114322,9.197054231,14.90415369,2.58,30.78733568,NA,NA
"210","F2","McPc","CD","Both",14,"male",2.75,9.103692707,11.40912781,18.08068241,2.62,49.30005214,NA,NA
"211","F2","McPc","CD","Both",15,"male",2.36,5.994601089,8.104879999,13.73420518,2.48,63.51091288,NA,NA
