"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"47","CrossesMnPc",0.114166666666667,0.0416992173578938,2.7378611374598,0.00679130897913005,"F1","Weight","NSD","female","Maternal",0.0249014662568102,"*",0.0348551038980874,"*"
"48","CrossesMcPn",0.0170833333333333,0.0416992173578937,0.409679951225736,0.682517283371656,"F1","Weight","NSD","female","Paternal",0.810582332640423," ",0.986204225426628," "
"49","CrossesMnPn",0.0433333333333333,0.0474382027135391,0.913469120974218,0.362191256641499,"F2","Weight","NSD","female","Parental",0.592676601776999," ",0.727898933250392," "
"50","CrossesMnPc",0.0733333333333334,0.047438202713539,1.54587082011022,0.123853952608473,"F2","Weight","NSD","female","Maternal",0.283652439581499," ",0.33946682512116," "
"51","CrossesMcPn",0.16125,0.047438202713539,3.39915913285599,0.000828730343445808,"F2","Weight","NSD","female","Paternal",0.00420740020518641,"**",0.00623807931248299,"**"
"52","CrossesMnPn",-0.0123333333333338,0.0505761915274892,-0.243856505617479,0.807557459571548,"F3","Weight","NSD","female","Parental",0.887241335060296," ",0.999986154515138," "
"53","CrossesMnPc",0.0696666666666663,0.0505761915274891,1.37745972092029,0.169697556734472,"F3","Weight","NSD","female","Maternal",0.357448045036441," ",0.433671533876983," "
"54","CrossesMcPn",0.112,0.0505761915274894,2.21448069966132,0.0277684490084413,"F3","Weight","NSD","female","Paternal",0.083305347025324,".",0.109487027518997," "
"55","CrossesMnPn",-7.43578221298434,3.61448038750043,-2.05722024075679,0.0410835557763951,"F1","TAG","NSD","male","Parental",0.116207772053232," ",0.15051851408343," "
"56","CrossesMnPc",12.8809325680677,3.61971827365104,3.55854560887562,0.000475058457093251,"F1","TAG","NSD","male","Maternal",0.00247530459222273,"**",0.00371083398559634,"**"
"57","CrossesMcPn",32.7376202037135,3.61530537282527,9.05528491446075,2.02907661903659e-16,"F1","TAG","NSD","male","Paternal",1.33919056856415e-14,"***",1.05004715035143e-14,"***"
"58","CrossesMnPn",-0.239971273097954,3.24216955210268,-0.0740156457710001,0.941078777642593,"F2","TAG","NSD","male","Parental",0.975568575776091," ",0.999986154515138," "
