Generation,Crosses,Treatment,Exposure,Sample,Sex,Sugar.Weight,Glucose ,Trehalose,Glycogen,Fat.Weight,TAG,Fitness
F1,McPn,NSD,Paternal,2,male,2.69,5.253496818,13.14310057,26.48378275,2.73,43.86072325,NA
F1,McPn,NSD,Paternal,3,male,2.43,7.581241689,18.06540519,20.52254149,2.62,75.904107,NA
F1,McPn,NSD,Paternal,4,male,2.53,7.055798528,8.627751805,15.75522914,2.54,53.68483186,NA
F1,McPn,NSD,Paternal,5,male,2.58,7.649533991,12.81202033,24.3516396,2.56,47.5642456,NA
F1,McPn,NSD,Paternal,6,male,2.65,7.81899967,11.70629698,25.06311681,2.62,106.6189814,NA
F1,McPn,NSD,Paternal,7,male,2.53,5.859375,13.98606231,22.71261358,2.61,55.63945339,NA
F1,McPn,NSD,Paternal,8,male,2.61,4.577985659,6.625975116,18.80467365,2.82,50.80567815,NA
F1,McPn,NSD,Paternal,9,male,2.67,6.006276709,11.85567941,20.04419943,2.6,61.9706665,NA
F1,McPn,NSD,Paternal,10,male,2.66,6.333009685,10.63403215,20.02114378,2.56,69.06867495,NA
F1,McPn,NSD,Paternal,11,male,2.62,7.209095528,12.76143919,15.74197439,2.66,50.50634411,NA
F1,McPn,NSD,Paternal,12,male,2.52,5.39134771,11.28171608,16.2122321,2.54,53.59774911,NA
F1,McPn,NSD,Paternal,13,male,2.41,9.495353911,7.462979422,9.378676513,2.65,14.20341785,NA
F1,McPn,NSD,Paternal,14,male,2.63,8.404031233,13.7791432,26.27285106,2.57,81.89048212,NA
F1,McPn,NSD,Paternal,15,male,2.52,8.503951065,14.51553818,15.76300018,2.68,63.68952935,NA
F1,McPn,NSD,Paternal,16,male,2.64,11.21517829,7.635022107,22.70907902,2.77,51.45371162,NA
F1,McPn,NSD,Paternal,17,male,2.45,9.682739784,21.75108375,15.66274617,2.68,61.96812972,NA
F1,McPn,NSD,Paternal,18,male,2.53,9.638222524,10.5902721,16.75497312,2.56,67.67170905,NA
F1,McPn,NSD,Paternal,19,male,2.47,9.057310971,21.49019247,17.63491623,2.71,53.49838778,NA
F1,McPn,NSD,Paternal,20,male,2.6,7.056573893,30.49707418,22.3423319,2.7,103.8717434,NA
F1,McPn,NSD,Paternal,21,male,2.53,8.928442593,22.45987851,24.17534336,2.39,88.1491216,NA
F1,McPn,NSD,Paternal,22,male,2.5,7.563601201,25.18710501,17.77953194,2.35,54.69731637,NA
F1,McPn,NSD,Paternal,23,male,2.59,10.11101873,16.28459623,25.08733409,2.6,58.6910871,NA
F1,McPn,NSD,Paternal,24,male,2.65,13.2805191,21.03066233,23.60179953,2.67,28.79148345,NA
F1,MnPn,NSD,Parental,1,male,2.42,5.284801825,9.390517112,16.96242832,2.62,15.9856782,NA
F1,MnPn,NSD,Parental,2,male,2.66,4.151253224,8.619051472,16.54184096,2.61,22.01131122,NA
F1,MnPn,NSD,Parental,3,male,2.59,5.351047199,11.23543204,13.49299215,2.72,22.05722494,NA
F1,MnPn,NSD,Parental,4,male,2.52,4.206513337,4.543390139,10.33641939,2.77,35.19334334,NA
F1,MnPn,NSD,Parental,5,male,2.62,9.406962268,12.77954159,21.24104154,2.4,13.87162233,NA
F1,MnPn,NSD,Parental,6,male,2.44,5.442996575,101.4834148,9.441541936,2.42,18.7787262,NA
F1,MnPn,NSD,Parental,7,male,2.69,5.273087556,8.495939395,8.328441281,2.41,13.24822729,NA
F1,MnPn,NSD,Parental,8,male,2.73,7.476265823,11.24999473,8.204187068,2.51,13.18693133,NA
F1,MnPn,NSD,Parental,9,male,2.66,6.984296449,11.90923382,16.39764223,2.72,21.59204853,NA
F1,MnPn,NSD,Parental,10,male,2.61,7.497280322,13.35083299,13.60162644,2.4,12.05476974,NA
F1,MnPn,NSD,Parental,11,male,2.55,8.664385707,31.2103486,17.4432641,2.52,24.60002199,NA
F1,MnPn,NSD,Parental,12,male,2.7,10.55789046,5.690388548,8.143797161,2.54,23.86484369,NA
F1,MnPn,NSD,Parental,13,male,2.27,5.315803572,12.86278028,8.663710454,2.74,19.01547119,NA
F1,MnPn,NSD,Parental,14,male,2.81,5.651665443,14.06955667,10.84321658,2.76,20.51893125,NA
F1,MnPn,NSD,Parental,15,male,2.69,7.220776494,10.30040334,17.77289484,2.33,32.77407802,NA
F1,MnPn,NSD,Parental,16,male,2.59,5.428600972,17.97795412,12.65912249,2.58,30.04533934,NA
F1,MnPn,NSD,Parental,17,male,2.31,7.659818108,9.261458103,9.125035215,2.58,18.21713066,NA
F1,MnPn,NSD,Parental,18,male,2.5,7.557364276,10.79680239,10.81670019,2.78,32.7886845,NA
F1,MnPn,NSD,Parental,19,male,2.68,8.807565567,14.41363541,1.725733878,2.53,33.2336974,NA
F1,MnPn,NSD,Parental,20,male,2.63,6.33848189,18.19865579,12.30439899,2.41,15.36065378,NA
F1,MnPn,NSD,Parental,21,male,2.78,6.217510904,13.07973995,10.97831637,2.67,25.50366917,NA
F1,MnPn,NSD,Parental,22,male,2.93,4.132149164,18.00102077,10.38527423,2.52,15.82856071,NA
F1,MnPn,NSD,Parental,23,male,2.52,8.964072914,14.10888734,14.00017125,2.66,4.309031404,NA
F1,MnPn,NSD,Parental,24,male,2.85,6.143175005,21.80951597,5.81570108,2.65,21.09992288,NA
F1,McPc,CD,Control,1,male,2.59,5.658341676,8.093985236,20.73420295,2.7,21.86370499,NA
F1,McPc,CD,Control,2,male,2.67,7.882675439,15.4746356,22.00078166,2.6,24.77467519,NA
F1,McPc,CD,Control,3,male,2.5,6.8603622,10.38639651,21.28782425,2.7,35.18690155,NA
F1,McPc,CD,Control,4,male,2.48,6.486834923,10.36493569,12.18048646,2.37,17.31930872,NA
F1,McPc,CD,Control,5,male,2.85,6.047240803,9.757816012,15.92889209,2.64,36.66291683,NA
F1,McPc,CD,Control,6,male,2.4,6.865943049,15.64566171,20.8995666,2.33,29.73524619,NA
F1,McPc,CD,Control,7,male,2.74,7.174752331,10.62427605,16.98386509,2.7,43.79887614,NA
F1,McPc,CD,Control,8,male,2.66,12.42583473,3.281509225,10.58358308,2.57,24.80837704,NA
F1,McPc,CD,Control,9,male,2.69,6.467681624,12.01934788,16.47313279,2.53,26.03972552,NA
F1,McPc,CD,Control,10,male,2.61,5.625134989,8.88557685,12.16927825,2.93,36.4787233,NA
F1,McPc,CD,Control,11,male,2.59,5.765276956,10.34590025,11.71964683,2.55,37.99138298,NA
F1,McPc,CD,Control,12,male,2.65,7.699526495,11.57737896,21.8925055,2.78,30.90161128,NA
F1,McPc,CD,Control,13,male,2.6,10.83834857,17.54872873,16.96866091,2.47,28.87718218,NA
F1,McPc,CD,Control,14,male,2.56,8.272039779,29.09021917,24.47459392,2.5,17.07486001,NA
F1,McPc,CD,Control,15,male,2.52,8.611827967,26.65997543,11.61448038,2.85,15.0810123,NA
F1,McPc,CD,Control,16,male,2.51,7.272570804,24.13533982,15.04706568,2.49,22.42575088,NA
F1,McPc,CD,Control,17,male,2.58,8.287807233,11.9205261,10.09557756,2.64,38.67144588,NA
F1,McPc,CD,Control,18,male,2.59,9.549008225,11.55578975,8.273727806,2.68,15.7573175,NA
F1,McPc,CD,Control,19,male,2.59,8.507393176,29.87740027,16.39052881,2.42,32.1448235,NA
F1,McPc,CD,Control,20,male,2.55,9.915551018,18.32471538,18.88432303,2.59,34.71732487,NA
F1,McPc,CD,Control,21,male,2.71,6.408168263,18.68174402,16.50677806,2.67,36.4453857,NA
F1,McPc,CD,Control,22,male,2.69,7.327268028,19.19983771,6.006958721,2.6,25.78202954,NA
F1,McPc,CD,Control,23,male,2.65,4.673473024,7.451526976,15.77526313,2.65,26.94973211,NA
F1,McPc,CD,Control,24,male,2.69,7.344640196,23.29571068,32.30729136,2.34,26.51377494,NA
F1,MhPc,HSD,Maternal,1,male,2.9,6.435794408,13.414927,21.74620295,2.74,15.0704437,NA
F1,MhPc,HSD,Maternal,2,male,2.62,6.536866202,11.10396089,14.92371372,2.55,9.238274486,NA
F1,MhPc,HSD,Maternal,3,male,2.52,7.117641209,13.12070462,12.27457007,2.55,10.76100385,NA
F1,MhPc,HSD,Maternal,4,male,2.66,5.339967286,15.2518313,18.76997012,2.63,9.9078893,NA
F1,MhPc,HSD,Maternal,5,male,2.55,7.435344065,9.52009717,13.33443732,2.22,15.9931796,NA
F1,MhPc,HSD,Maternal,6,male,2.59,5.325441365,10.82047958,12.73350148,2.74,8.315484366,NA
F1,MhPc,HSD,Maternal,7,male,2.66,7.393976761,14.44910225,15.40384897,2.72,7.93327908,NA
F1,MhPc,HSD,Maternal,8,male,2.59,7.52213027,14.39850877,14.75834718,2.63,15.76418507,NA
F1,MhPc,HSD,Maternal,9,male,2.42,6.858995585,17.15690438,21.06711587,2.66,18.17237238,NA
F1,MhPc,HSD,Maternal,10,male,2.55,6.025094697,10.93337128,18.26559298,2.68,11.4437291,NA
F1,MhPc,HSD,Maternal,11,male,2.65,8.177114146,13.03250571,12.03266207,2.65,15.36093945,NA
F1,MhPc,HSD,Maternal,12,male,2.56,7.558737646,11.50962345,20.64255055,2.46,12.61925566,NA
F1,MhPc,HSD,Maternal,13,male,2.71,6.441178476,26.61648602,10.89786546,2.76,14.88905927,NA
F1,MhPc,HSD,Maternal,14,male,2.62,6.828328557,17.79123089,10.97779728,2.87,16.68466816,NA
F1,MhPc,HSD,Maternal,15,male,2.72,6.970752767,12.95446091,9.668066503,2.72,17.57616927,NA
F1,MhPc,HSD,Maternal,16,male,2.48,6.194257446,8.993759083,9.794114647,2.32,15.86010061,NA
F1,MhPc,HSD,Maternal,17,male,2.79,4.975792379,15.19131567,12.56806727,2.68,14.82547486,NA
F1,MhPc,HSD,Maternal,18,male,2.69,4.529560178,12.04932755,16.21219806,2.49,20.03406737,NA
F1,MhPc,HSD,Maternal,19,male,2.68,5.763830452,17.00922104,8.678400624,2.72,14.4815562,NA
F1,MhPc,HSD,Maternal,20,male,2.72,7.434520178,27.09204987,15.31127015,2.92,15.44857426,NA
F1,MhPc,HSD,Maternal,21,male,2.59,6.79867901,21.38877676,10.9889808,2.77,19.50876638,NA
F1,MhPc,HSD,Maternal,22,male,2.68,6.910858227,32.32719794,11.63992729,2.45,18.09985755,NA
F1,MhPc,HSD,Maternal,23,male,2.54,7.200153019,14.09998822,12.78130511,2.47,16.71801639,NA
F1,MhPc,HSD,Maternal,24,male,2.91,8.935907324,30.03341003,12.09549089,2.61,19.35671264,NA
F1,McPh,HSD,Paternal,1,male,2.33,6.314678649,10.66775103,22.43408617,2.56,16.24861013,NA
F1,McPh,HSD,Paternal,2,male,2.55,7.272401579,9.717301242,20.56209122,2.67,18.02377728,NA
F1,McPh,HSD,Paternal,3,male,2.62,8.260573553,9.33095347,16.67480559,2.66,13.67036371,NA
F1,McPh,HSD,Paternal,4,male,2.65,6.680421539,11.90876012,28.49366522,2.89,16.0062008,NA
F1,McPh,HSD,Paternal,5,male,2.62,5.918184265,12.5879756,25.36306573,2.3,18.66523409,NA
F1,McPh,HSD,Paternal,6,male,2.71,7.914453904,12.36236792,24.31786437,2.6,16.54672962,NA
F1,McPh,HSD,Paternal,7,male,2.61,6.141388367,17.04455369,16.42719148,2.38,15.15056116,NA
F1,McPh,HSD,Paternal,8,male,2.65,5.694378624,12.17157467,11.26697006,2.41,27.18788679,NA
F1,McPh,HSD,Paternal,9,male,2.62,5.052280454,18.03697522,12.05990556,2.47,14.93771094,NA
F1,McPh,HSD,Paternal,10,male,2.56,4.726033835,15.86626273,19.47805655,2.6,2.682449633,NA
F1,McPh,HSD,Paternal,11,male,2.82,4.718157748,7.355874316,7.612218035,2.85,23.76011751,NA
F1,McPh,HSD,Paternal,12,male,2.78,6.259162748,13.04221482,13.29004855,2.67,28.15740888,NA
F1,McPh,HSD,Paternal,13,male,2.57,7.976208365,20.09213194,12.74008053,2.27,27.77929173,NA
F1,McPh,HSD,Paternal,14,male,2.59,5.569031393,14.66381174,9.806982026,2.58,17.31004012,NA
F1,McPh,HSD,Paternal,15,male,2.59,6.976573428,17.67684397,15.59820991,2.55,25.38979855,NA
F1,McPh,HSD,Paternal,16,male,2.51,6.267851726,21.53162744,13.46719334,2.79,14.91316425,NA
F1,McPh,HSD,Paternal,17,male,2.45,8.597538689,21.441935,16.31859215,2.86,22.38758522,NA
F1,McPh,HSD,Paternal,18,male,2.7,5.394777477,25.94131068,17.43044386,2.66,25.85080822,NA
F1,McPh,HSD,Paternal,19,male,2.82,7.333628815,12.79683567,12.37514163,2.54,37.73713727,NA
F1,McPh,HSD,Paternal,20,male,2.57,6.839226059,17.20931346,13.34496524,2.64,33.38111098,NA
F1,McPh,HSD,Paternal,21,male,2.57,8.344775365,10.04017488,17.6027465,2.64,35.61553491,NA
F1,McPh,HSD,Paternal,22,male,2.62,6.845219558,18.24202571,18.4861501,2.58,18.67928885,NA
F1,McPh,HSD,Paternal,23,male,2.37,6.457809671,8.580446229,12.40400003,2.54,27.15908143,NA
F1,McPh,HSD,Paternal,24,male,2.48,7.216796623,12.51005523,15.54844983,2.65,16.33253759,NA
F1,MhPh,HSD,Parental,1,male,2.59,14.62296759,3.836755498,19.53849075,2.53,12.45258401,NA
F1,MhPh,HSD,Parental,2,male,2.69,8.527888032,13.99363792,8.768457996,2.59,12.18453345,NA
F1,MhPh,HSD,Parental,3,male,2.64,10.02784717,16.28726237,19.61710588,2.63,15.30351231,NA
F1,MhPh,HSD,Parental,4,male,2.66,6.38002106,5.108771578,15.57208996,2.68,15.10507786,NA
F1,MhPh,HSD,Parental,5,male,2.71,7.209926056,12.54940506,20.3469028,2.75,10.85703879,NA
F1,MhPh,HSD,Parental,6,male,2.79,7.245743034,12.55306402,19.29983875,2.38,9.326269398,NA
F1,MhPh,HSD,Parental,7,male,2.68,7.717252932,17.33932808,16.71151051,2.69,25.67623509,NA
F1,MhPh,HSD,Parental,8,male,2.51,6.079424427,12.57475972,12.15286785,2.72,9.06122498,NA
F1,MhPh,HSD,Parental,9,male,2.69,6.73388099,11.95576948,22.84602598,2.46,12.34854679,NA
F1,MhPh,HSD,Parental,10,male,2.55,5.729166667,1.696235624,11.04543871,2.47,10.84965345,NA
F1,MhPh,HSD,Parental,11,male,2.62,12.88197081,6.420555266,7.88820279,2.63,5.643898793,NA
F1,MhPh,HSD,Parental,12,male,2.62,6.385149045,18.45917818,25.82605402,2.43,15.41525063,NA
F1,MhPh,HSD,Parental,13,male,2.68,8.142456558,27.0203352,19.33223921,2.25,11.55275296,NA
F1,MhPh,HSD,Parental,14,male,2.83,10.06836945,30.5095065,13.61203475,2.72,6.815580953,NA
F1,MhPh,HSD,Parental,15,male,2.67,8.121732371,17.83081393,11.21364234,2.63,14.02758792,NA
F1,MhPh,HSD,Parental,16,male,2.78,9.668545779,28.5372469,20.3838806,2.55,9.749971753,NA
F1,MhPh,HSD,Parental,17,male,2.72,9.481768616,19.91745619,13.22503016,2.44,11.90161665,NA
F1,MhPh,HSD,Parental,18,male,2.64,8.784908401,21.14071143,19.07344648,2.59,6.138026514,NA
F1,MhPh,HSD,Parental,19,male,2.7,8.41022776,10.87846896,13.60484819,2.49,13.54532011,NA
F1,MhPh,HSD,Parental,20,male,2.64,7.418149543,10.89977345,8.502676618,2.38,8.26819532,NA
F1,MhPh,HSD,Parental,21,male,2.55,3.695205186,9.277216262,15.76132656,2.32,10.3139912,NA
F1,MhPh,HSD,Parental,22,male,2.07,3.906206787,7.641692803,17.09114212,2.06,15.31327346,NA
F1,MhPh,HSD,Parental,23,male,2.88,7.782206126,20.99477037,21.19738571,2.75,9.545274102,NA
F1,MhPh,HSD,Parental,24,male,2.76,7.939549812,10.44155726,12.99534841,2.68,17.30797552,NA
F1,MnPc,NSD,Maternal,1,female,3.87,11.88393956,6.925440615,29.31367803,3.63,14.63299318,341
F1,MnPc,NSD,Maternal,2,female,3.94,8.27655339,5.217136827,17.8959526,3.86,13.78889663,317
F1,MnPc,NSD,Maternal,3,female,3.65,10.76838516,6.308376931,12.09482572,3.94,22.58492314,223
F1,MnPc,NSD,Maternal,4,female,3.87,9.553750883,7.058736143,16.2459971,3.83,25.15077692,434
F1,MnPc,NSD,Maternal,5,female,3.82,8.426323733,6.057021984,18.33783205,3.79,27.15059922,255
F1,MnPc,NSD,Maternal,6,female,4.14,12.882886,6.269608954,21.88866628,3.83,22.54194062,485
F1,MnPc,NSD,Maternal,7,female,3.84,11.20361499,6.902714315,26.85554807,3.6,26.56255708,206
F1,MnPc,NSD,Maternal,8,female,3.63,8.850425667,12.73438487,15.1229811,3.73,24.63669797,334
F1,MnPc,NSD,Maternal,9,female,3.63,9.232316181,5.924238243,14.0463333,3.72,27.39912724,527
F1,MnPc,NSD,Maternal,10,female,3.54,9.801822795,11.27344602,11.22650427,4.23,19.36237799,377
F1,MnPc,NSD,Maternal,11,female,3.9,10.35184531,5.640277559,24.12388812,3.84,29.39666088,280
F1,MnPc,NSD,Maternal,12,female,3.73,8.974295542,3.99447268,13.7203487,3.91,25.82912364,527
F1,MnPc,NSD,Maternal,13,female,3.89,8.607902079,9.833631838,18.25620495,3.6,14.1169487,403
F1,MnPc,NSD,Maternal,14,female,3.64,1.783867033,5.553001853,8.431065094,3.81,22.57665309,505
F1,MnPc,NSD,Maternal,15,female,3.79,6.504561746,11.79687223,10.23141145,3.78,54.16017363,460
F1,MnPc,NSD,Maternal,16,female,3.83,6.396791865,10.25796905,20.24650879,3.8,46.33863302,251
F1,MnPc,NSD,Maternal,17,female,4,7.52768595,10.0201403,8.828439698,3.77,17.21441777,276
F1,MnPc,NSD,Maternal,18,female,3.91,7.560328023,13.02005421,10.85631155,3.84,25.64946731,597
F1,MnPc,NSD,Maternal,19,female,3.96,9.562178799,11.01548953,11.90051392,3.61,15.85128106,170
F1,MnPc,NSD,Maternal,20,female,3.78,6.399416677,11.33165548,11.61390146,3.66,49.65434437,341
F1,MnPc,NSD,Maternal,21,female,4.01,9.028486421,12.88000422,18.29771679,3.87,32.20748901,231
F1,MnPc,NSD,Maternal,22,female,3.54,3.656126482,8.952731996,9.459930751,3.87,19.62700366,183
F1,MnPc,NSD,Maternal,23,female,3.63,9.946725678,11.80867345,14.88488636,3.56,36.17835008,411
F1,MnPc,NSD,Maternal,24,female,3.66,5.734406439,14.08193777,22.42154701,3.45,39.71747906,329
F1,MnPc,NSD,Maternal,25,female,NA,NA,NA,NA,NA,NA,405
F1,McPn,NSD,Paternal,1,female,3.64,11.70475674,5.299852539,13.12154059,3.66,19.01553636,386
F1,McPn,NSD,Paternal,2,female,3.39,5.955578962,17.32862628,17.14765225,3.93,21.30293854,371
F1,McPn,NSD,Paternal,3,female,3.62,10.52613034,5.047766892,13.39895871,3.73,29.82431159,369
F1,McPn,NSD,Paternal,4,female,3.61,8.660825102,3.454235061,8.643500854,3.97,21.4287408,262
F1,McPn,NSD,Paternal,5,female,3.5,10.25337516,7.615900769,13.19553235,3.88,35.94021273,463
F1,McPn,NSD,Paternal,6,female,3.76,8.372394867,5.6326645,16.09983689,3.35,25.12936797,454
F1,McPn,NSD,Paternal,7,female,3.72,11.77851527,9.906157734,11.34453695,3.62,16.88780543,259
F1,McPn,NSD,Paternal,8,female,3.76,10.50729659,3.392058368,10.69848508,3.89,38.59751155,280
F1,McPn,NSD,Paternal,9,female,3.73,11.52202879,7.442549375,20.97441682,3.61,20.26208274,620
F1,McPn,NSD,Paternal,10,female,3.74,10.87484381,7.896199958,23.64855475,3.45,20.97381322,337
F1,McPn,NSD,Paternal,11,female,3.84,13.59794184,14.12631366,28.00265121,3.44,28.45273805,448
F1,McPn,NSD,Paternal,12,female,4.02,10.57167635,5.645939321,18.99088318,3.65,32.44999952,244
F1,McPn,NSD,Paternal,13,female,3.56,5.385922184,18.29355912,16.74493317,3.41,24.92117227,324
F1,McPn,NSD,Paternal,14,female,3.79,5.493955122,15.36692793,25.85202437,3.72,18.33077774,185
F1,McPn,NSD,Paternal,15,female,3.68,6.367580296,6.326997755,6.05704139,3.44,18.65566766,338
F1,McPn,NSD,Paternal,16,female,3.82,10.03047977,10.85883399,22.19802702,3.7,16.10581627,265
F1,McPn,NSD,Paternal,17,female,3.68,6.917340901,6.594888803,15.5676309,3.96,20.57857372,614
F1,McPn,NSD,Paternal,18,female,3.26,8.712871287,4.873548383,10.90769893,3.94,19.19560544,524
F1,McPn,NSD,Paternal,19,female,3.84,6.939846249,9.249268395,14.11028943,3.97,30.2614724,248
F1,McPn,NSD,Paternal,20,female,3.69,5.89076459,9.699055091,14.35342134,3.72,25.23203272,204
F1,McPn,NSD,Paternal,21,female,3.82,8.477467376,12.05822287,16.12030588,3.71,28.5023375,315
F1,McPn,NSD,Paternal,22,female,3.58,7.167552454,11.72832642,16.36809848,3.79,20.82603495,449
F1,McPn,NSD,Paternal,23,female,3.97,5.630615375,13.18394273,19.99927447,3.51,40.11171945,501
F1,McPn,NSD,Paternal,24,female,3.85,7.396687074,10.71902521,17.96193506,3.87,38.43050008,340
F1,McPn,NSD,Paternal,25,female,NA,NA,NA,NA,NA,NA,468
F1,MnPn,NSD,Parental,1,female,3.62,10.55624877,11.2197775,20.37322436,3.63,30.70875474,656
F1,MnPn,NSD,Parental,2,female,3.77,7.586238392,6.639725439,12.53570098,3.68,34.52735902,206
F1,MnPn,NSD,Parental,3,female,3.47,8.094105456,5.849879768,14.29983394,3.71,24.67996053,322
F1,MnPn,NSD,Parental,4,female,4.03,11.86313928,7.877517253,33.16043726,3.82,30.77944105,268
F1,MnPn,NSD,Parental,5,female,3.46,9.372567951,4.257305395,12.87057841,3.42,24.06147663,288
F1,MnPn,NSD,Parental,6,female,3.89,9.841102972,10.55624802,34.23538434,3.7,32.94226987,356
F1,MnPn,NSD,Parental,7,female,3.49,10.82088866,8.235147825,12.16146282,3.52,54.48101609,358
F1,MnPn,NSD,Parental,8,female,3.83,11.30417371,6.234382391,40.31826401,3.39,43.83733509,306
F1,MnPn,NSD,Parental,9,female,3.66,10.10297258,6.985615692,8.829211564,3.66,81.24804526,377
F1,MnPn,NSD,Parental,10,female,3.8,10.86964742,7.445770788,8.974701124,3.27,29.56576143,627
F1,MnPn,NSD,Parental,11,female,3.75,12.70309015,10.44694776,19.21896154,3.46,27.54392383,240
F1,MnPn,NSD,Parental,12,female,3.61,11.23201293,7.572001241,13.63568667,3.77,62.62888099,261
F1,MnPn,NSD,Parental,13,female,3.97,12.32032854,14.60361245,28.68599134,3.35,32.31406036,374
F1,MnPn,NSD,Parental,14,female,3.65,6.988618388,6.677436122,18.21599436,3.85,53.24292202,305
F1,MnPn,NSD,Parental,15,female,3.68,7.745044413,9.30578204,18.86474412,3.62,39.2109062,384
F1,MnPn,NSD,Parental,16,female,3.87,10.12820813,6.42323544,20.7067582,3.57,46.41748687,353
F1,MnPn,NSD,Parental,17,female,3.88,9.821311475,10.96574998,23.39671627,3.64,51.35428901,402
F1,MnPn,NSD,Parental,18,female,3.82,8.489490567,7.219153403,14.27846309,3.7,45.31339043,670
F1,MnPn,NSD,Parental,19,female,3.74,12.27180527,12.88372042,27.69079378,3.18,52.50752945,509
F1,MnPn,NSD,Parental,20,female,3.68,9.519038076,8.433245032,15.26316153,3.22,34.07555646,341
F1,MnPn,NSD,Parental,21,female,3.94,9.345356888,16.54454533,21.80618063,3.7,37.65401248,159
F1,MnPn,NSD,Parental,22,female,3.86,11.47812831,9.808517791,24.81502977,3.89,54.07000006,353
F1,MnPn,NSD,Parental,23,female,3.85,11.1332008,9.014893269,15.68860424,3.57,41.2954195,184
F1,MnPn,NSD,Parental,24,female,3.49,11.12224449,6.337608056,10.57373445,2.81,35.84213628,216
F1,MnPn,NSD,Parental,25,female,NA,NA,NA,NA,NA,NA,370
F1,McPc,CD,Control,1,female,3.45,9.185838174,3.146097048,15.39290866,3.9,36.92227621,355
F1,McPc,CD,Control,2,female,3.77,12.65604364,7.589009017,33.9988095,3.4,20.44184475,328
F1,McPc,CD,Control,3,female,3.59,13.06812077,5.240907138,24.51029916,3.63,24.57739059,370
F1,McPc,CD,Control,4,female,3.61,11.18718725,7.807400005,28.92540974,4.06,39.83819821,481
F1,McPc,CD,Control,5,female,3.85,8.617498748,18.21620566,12.14877175,3.82,26.01099158,245
F1,McPc,CD,Control,6,female,3.99,10.99636768,21.72721562,28.91642194,3.39,34.13972026,331
F1,McPc,CD,Control,7,female,4.07,9.019204014,6.490155111,32.58585282,3.85,23.19415653,198
F1,McPc,CD,Control,8,female,3.83,12.76853096,6.723670726,41.26372979,4.09,26.62059759,362
F1,McPc,CD,Control,9,female,3.78,11.59716849,7.198662092,21.12970884,3.69,35.66345186,177
F1,McPc,CD,Control,10,female,3.4,9.946423953,6.134805544,14.01441401,4.12,34.17990725,232
F1,McPc,CD,Control,11,female,3.88,11.50332065,8.665975869,17.06931066,3.8,36.16819478,285
F1,McPc,CD,Control,12,female,3.48,11.03351333,11.91028834,24.31421422,3.84,28.25942807,242
